Topology,N_Stage1,N_Stage2,Total_Elements,P1_bar,P2_bar,Overall_Recovery_Pct,Permeate_Flow_m3_h,Permeate_TDS_mg_L,Concentrate_TDS_mg_L,Overall_Salt_Rejection_Pct,Average_Flux_LMH,System_SEC_kWh_m3,Max_Element_Recovery_Pct,Max_Polarization_Modulus,Feasible,Near_70_Pct_Target
Concentrate Staging (A),3,3,18,20.0,15.0,84.29209333658788,25.287628000976365,12.011957810352413,12928.997560454003,99.41146703525956,37.96941141287743,0.7821162420836665,32.730958817282826,1.3934826064218944,True,False
Concentrate Staging (A),4,1,15,20.0,15.0,82.66246862811724,24.79874058843517,9.661381881744948,11726.084986528187,99.52663489065434,44.68241547465796,0.7975350406526971,47.344803766593394,1.3893142708387425,False,False
Concentrate Staging (A),4,2,18,20.0,15.0,85.77428161563397,25.73228448469019,13.081154047099998,14268.381246178607,99.35908113439001,38.63706379082611,0.7686011941574978,47.344803766593394,1.3893142708387425,False,False
Concentrate Staging (A),4,3,21,20.0,15.0,87.13642993298235,26.140928979894706,17.000392921611077,15751.35404850551,99.16705571182699,33.64340924053373,0.7565861411637176,47.344803766593394,1.3893142708387425,False,False
Concentrate Staging (A),4,4,24,20.0,15.0,87.787166075266,26.3361498225798,21.133969075520696,16560.014652892492,98.9645287077158,29.657826376779052,0.7509778276844554,47.344803766593394,1.3893142708387425,False,False
Concentrate Staging (A),5,1,18,20.0,15.0,87.20553762705659,26.161661288116974,14.134264600679714,15855.876389580899,99.3074833610642,39.28177370588134,0.7559865700240046,57.38448316336087,1.3844164904577287,False,False
Concentrate Staging (A),2,1,9,20.0,20.0,61.76976496113705,18.530929488341116,5.0698323327129575,5330.514903747166,99.75160057164561,55.64843690192527,1.0817619674674557,19.216140226056407,1.3970514829743632,True,False
Concentrate Staging (A),2,2,12,20.0,20.0,77.19572097555766,23.1587162926673,6.782832447278121,8927.113816699777,99.6676711196826,52.15927092943086,0.8655943830814026,29.857642343398076,1.3970514829743632,True,False
Concentrate Staging (A),3,1,12,20.0,20.0,77.19636526138454,23.158909578415365,6.782604428216985,8927.366620480088,99.66768229161113,52.159706257692264,0.861779150608107,32.730958817282826,1.3934826064218944,True,False
Concentrate Staging (A),3,2,15,20.0,20.0,86.76156207846725,26.028468623540174,9.84770254359106,15352.687314705627,99.51750599982405,46.89814166403635,0.7667706354205883,32.730958817282826,1.3934826064218944,True,False
Concentrate Staging (A),3,3,18,20.0,20.0,90.27795747786023,27.083387243358068,14.504537384441518,20858.843142164915,99.2893416274159,40.66574661164875,0.7369043335002794,41.86504444928663,1.3934826064218944,False,False
Concentrate Staging (A),4,1,15,20.0,20.0,86.62192612195867,25.9865778365876,9.896684264595208,15192.226623922359,99.5151061114848,46.82266276862631,0.7652870531297039,47.344803766593394,1.3893142708387425,False,False
Concentrate Staging (A),4,2,18,20.0,20.0,90.1999640603425,27.05998921810275,14.534837416267294,20692.674948957076,99.28785705946756,40.63061444159572,0.7349297670888779,47.344803766593394,1.3893142708387425,False,False
Concentrate Staging (A),4,3,21,20.0,20.0,91.0759716020625,27.32279148061875,19.986689762681063,22666.858933069434,99.02074033499848,35.164467800024134,0.7278608991176708,47.344803766593394,1.3893142708387425,False,False
Concentrate Staging (A),5,1,18,20.0,20.0,90.02322160087704,27.00696648026311,14.603695224981672,20325.73243547196,99.28448333047616,40.55100072111578,0.7347630407355665,57.38448316336087,1.3844164904577287,False,False
Concentrate Staging (A),5,2,21,20.0,20.0,91.02248192895405,27.306744578686214,20.010504043328158,22531.683329016105,99.01957354025829,35.14381541658457,0.7266966867800968,57.38448316336087,1.3844164904577287,False,False
Concentrate Staging (A),2,1,9,20.0,25.0,67.402765918114,20.220829775434197,5.006142325317882,6250.916002530499,99.75472110116031,60.72321253884144,1.1387240609464395,19.216140226056407,1.4782727569851626,True,False
Concentrate Staging (A),2,2,12,20.0,25.0,85.24644198542862,25.573932595628584,7.486189336877636,13790.69569483186,99.63320973361697,57.598947287451765,0.9003677987923137,42.35819366920433,1.4636890222976298,False,False
Concentrate Staging (A),3,1,12,20.0,25.0,81.9288438622764,24.57865315868292,6.912736757675881,11262.901273075826,99.66130638129957,55.35732693397054,0.8933717661869097,32.730958817282826,1.4111736814218117,True,False
Concentrate Staging (A),3,2,15,20.0,25.0,91.35953182656131,27.40785954796839,11.382270420530984,23501.055385803626,99.44231894068932,49.38353071706016,0.8011524849081348,43.01742930249928,1.3934826064218944,False,False
Concentrate Staging (A),3,3,18,20.0,25.0,93.00513400222798,27.901540200668393,17.991402614086816,28939.325964709606,99.11850060685514,41.8942045055081,0.786977156993721,52.48818392960645,1.3934826064218944,False,False
Concentrate Staging (A),4,1,15,20.0,25.0,89.8779067461888,26.96337202385664,10.351307028469217,20071.900257952675,99.49283160076095,48.58265229523719,0.782614870642548,47.344803766593394,1.3893142708387425,False,False
Concentrate Staging (A),4,2,18,20.0,25.0,92.76167472959237,27.82850241887771,16.583774298917707,27984.603310219478,99.18746818721618,41.784538166483046,0.7582849982693561,47.344803766593394,1.3893142708387425,False,False
Concentrate Staging (A),5,1,18,20.0,25.0,92.22380662754358,27.667141988263076,15.282724357929629,26065.52580109573,99.2512138972107,41.54225523763225,0.7436784289389692,57.38448316336087,1.3844164904577287,False,False
Concentrate Staging (A),6,1,21,20.0,25.0,92.76725424218962,27.830176272656885,20.756531121508353,27952.658695619746,98.98302150311082,35.81747268038209,0.7309020095566302,58.37516589583144,1.3786360247414906,False,False
Concentrate Staging (A),2,1,9,20.0,30.0,72.77694433813792,21.833083301441373,5.042928678240767,7483.83993299108,99.75291873208032,65.56481471904316,1.1911206353136932,25.300157620955105,1.6180185218677692,True,False
