strategy_name,stage_index,element_index,global_element_id,r_f_m_inv,permeability_decline_pct,specific_cumulative_volume_l_m2,local_flux_lmh,local_polarization_modulus,local_feed_tds_mg_l,local_surface_tds_mg_l
Authoritative Baseline,2,3,Stage2_Vessel2_Elem3,153457828150247.25,58.30118916672946,4562.746245486984,21.29093507150353,1.1251380040050643,2810.447618372,3285.1316874563026
Strategy A (Max Recovery),1,1,Stage1_Vessel1_Elem1,108400116481848.38,49.688835236336836,5073.005726945707,22.083880839756457,1.130104451445207,2041.0,2408.8115399925982
Strategy A (Max Recovery),1,1,Stage1_Vessel2_Elem1,108400116481848.38,49.688835236336836,5073.005726945707,22.083880839756457,1.130104451445207,2041.0,2408.8115399925982
Strategy A (Max Recovery),1,1,Stage1_Vessel3_Elem1,108400116481848.38,49.688835236336836,5073.005726945707,22.083880839756457,1.130104451445207,2041.0,2408.8115399925982
Strategy A (Max Recovery),1,2,Stage1_Vessel1_Elem2,119590659137139.34,52.14365569924826,4922.194916710008,21.624717945525816,1.127225916536205,2221.989207612,2623.7989191396905
Strategy A (Max Recovery),1,2,Stage1_Vessel2_Elem2,119590659137139.34,52.14365569924826,4922.194916710008,21.624717945525816,1.127225916536205,2221.989207612,2623.7989191396905
Strategy A (Max Recovery),1,2,Stage1_Vessel3_Elem2,119590659137139.34,52.14365569924826,4922.194916710008,21.624717945525816,1.127225916536205,2221.989207612,2623.7989191396905
Strategy A (Max Recovery),1,3,Stage1_Vessel1_Elem3,132991854914757.75,54.78560507263961,4737.2480784465615,21.122761306292087,1.124087492013402,2433.331222213156,2875.3913553966977
Strategy A (Max Recovery),1,3,Stage1_Vessel2_Elem3,132991854914757.75,54.78560507263961,4737.2480784465615,21.122761306292087,1.124087492013402,2433.331222213156,2875.3913553966977
Strategy A (Max Recovery),1,3,Stage1_Vessel3_Elem3,132991854914757.75,54.78560507263961,4737.2480784465615,21.122761306292087,1.124087492013402,2433.331222213156,2875.3913553966977
Strategy A (Max Recovery),2,1,Stage2_Vessel1_Elem1,160466396203145.84,59.38269475327675,4874.4662352217565,22.116901883774908,1.1303117465477008,2682.6252773053266,3149.030615208921
Strategy A (Max Recovery),2,1,Stage2_Vessel2_Elem1,160466396203145.84,59.38269475327675,4874.4662352217565,22.116901883774908,1.1303117465477008,2682.6252773053266,3149.030615208921
Strategy A (Max Recovery),2,2,Stage2_Vessel1_Elem2,172685730864023.12,61.13991852080638,4649.413063011282,21.627695383189717,1.1272445587310111,2889.3430311316547,3389.736692748968
Strategy A (Max Recovery),2,2,Stage2_Vessel2_Elem2,172685730864023.12,61.13991852080638,4649.413063011282,21.627695383189717,1.1272445587310111,2889.3430311316547,3389.736692748968
Strategy A (Max Recovery),2,3,Stage2_Vessel1_Elem3,182910611943179.28,62.49756330316533,4370.650826164536,21.099398866668682,1.1239416341251685,3124.8562240236665,3663.8957132816213
Strategy A (Max Recovery),2,3,Stage2_Vessel2_Elem3,182910611943179.28,62.49756330316533,4370.650826164536,21.099398866668682,1.1239416341251685,3124.8562240236665,3663.8957132816213
Strategy B (Min Energy),1,1,Stage1_Vessel1_Elem1,92186049944571.78,45.64935265605122,4562.994672716692,20.569455767099637,1.1206381384162225,2041.0,2381.0871864824167
Strategy B (Min Energy),1,1,Stage1_Vessel2_Elem1,92186049944571.78,45.64935265605122,4562.994672716692,20.569455767099637,1.1206381384162225,2041.0,2381.0871864824167
Strategy B (Min Energy),1,1,Stage1_Vessel3_Elem1,92186049944571.78,45.64935265605122,4562.994672716692,20.569455767099637,1.1206381384162225,2041.0,2381.0871864824167
Strategy B (Min Energy),1,2,Stage1_Vessel1_Elem2,99131706372544.77,47.45653277896117,4409.625052597711,20.040343415785646,1.1173495085542915,2208.5201704406804,2574.9543980677104
Strategy B (Min Energy),1,2,Stage1_Vessel2_Elem2,99131706372544.77,47.45653277896117,4409.625052597711,20.040343415785646,1.1173495085542915,2208.5201704406804,2574.9543980677104
